sn	probe	stand	cond	block_c	trial_c	key_press	Desired	correct	rt	ses	lang	dKey
1887_4026	1	5	CH1_CHIN	1	1	68	68	YES	1326	2	chinese	low
1887_4026	2	5	CH1_CHIN	1	2	68	68	YES	526	2	chinese	low
1887_4026	6	5	CH1_CHIN	1	3	68	75	NO	864	2	chinese	low
1887_4026	3	5	CH1_CHIN	1	4	68	68	YES	768	2	chinese	low
1887_4026	7	5	CH1_CHIN	1	5	75	75	YES	528	2	chinese	low
1887_4026	4	5	CH1_CHIN	1	6	68	68	YES	680	2	chinese	low
1887_4026	8	5	CH1_CHIN	1	7	75	75	YES	513	2	chinese	low
1887_4026	9	5	CH1_CHIN	1	8	75	75	YES	593	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	1	75	75	YES	558	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	2	75	75	YES	457	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	3	68	68	YES	568	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	4	75	75	YES	432	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	5	68	68	YES	520	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	6	68	68	YES	752	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	7	68	68	YES	536	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	8	75	75	YES	456	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	9	68	68	YES	408	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	10	68	68	YES	609	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	11	75	75	YES	464	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	12	68	68	YES	458	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	13	68	68	YES	544	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	14	68	68	YES	472	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	15	75	75	YES	504	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	16	68	68	YES	424	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	17	75	75	YES	377	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	18	75	75	YES	504	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	19	68	68	YES	792	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	20	75	75	YES	448	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	21	68	68	YES	544	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	22	75	75	YES	465	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	23	75	75	YES	719	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	24	75	75	YES	516	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	25	68	68	YES	400	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	26	75	75	YES	472	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	27	68	68	YES	448	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	28	68	68	YES	608	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	29	68	68	YES	626	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	30	68	68	YES	536	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	31	75	75	YES	577	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	32	68	68	YES	520	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	33	68	68	YES	416	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	34	68	68	YES	488	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	35	75	68	NO	400	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	36	68	68	YES	536	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	37	68	68	YES	384	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	38	68	68	YES	416	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	39	75	75	YES	480	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	40	75	75	YES	583	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	41	68	68	YES	538	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	42	75	75	YES	433	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	43	75	75	YES	529	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	44	75	75	YES	495	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	45	75	75	YES	432	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	46	68	68	YES	535	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	47	68	68	YES	520	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	48	75	75	YES	480	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	49	75	75	YES	584	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	50	75	75	YES	424	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	51	68	68	YES	728	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	52	75	75	YES	417	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	53	75	75	YES	425	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	54	75	75	YES	488	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	55	68	68	YES	568	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	56	75	75	YES	441	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	57	68	68	YES	417	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	58	75	75	YES	384	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	59	68	68	YES	480	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	60	68	68	YES	624	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	61	68	68	YES	584	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	62	75	75	YES	408	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	63	68	68	YES	488	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	64	75	75	YES	425	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	65	75	75	YES	431	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	66	68	75	NO	392	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	67	68	68	YES	512	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	68	68	68	YES	416	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	69	68	68	YES	425	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	70	75	75	YES	487	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	71	75	75	YES	465	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	72	75	75	YES	415	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	73	75	75	YES	449	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	74	75	75	YES	504	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	75	68	68	YES	496	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	76	68	68	YES	600	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	77	68	68	YES	535	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	78	75	75	YES	546	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	79	68	68	YES	430	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	80	68	68	YES	592	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	81	68	68	YES	416	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	82	68	68	YES	416	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	83	68	68	YES	456	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	84	75	75	YES	623	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	85	75	75	YES	530	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	86	75	75	YES	480	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	87	68	68	YES	601	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	88	68	68	YES	561	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	89	68	68	YES	529	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	90	68	68	YES	873	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	91	75	75	YES	481	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	92	68	68	YES	432	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	93	75	75	YES	392	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	94	68	68	YES	511	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	95	75	75	YES	439	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	96	68	68	YES	655	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	97	68	68	YES	479	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	98	75	75	YES	449	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	99	75	75	YES	511	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	100	68	68	YES	496	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	101	68	68	YES	376	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	102	75	75	YES	440	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	103	68	68	YES	552	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	104	75	75	YES	384	2	chinese	low
1887_4026	9	5	CH1_CHIN	2	105	75	75	YES	480	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	106	68	68	YES	479	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	107	68	68	YES	513	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	108	75	75	YES	432	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	109	75	75	YES	497	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	110	68	68	YES	681	2	chinese	low
1887_4026	4	5	CH1_CHIN	2	111	68	68	YES	873	2	chinese	low
1887_4026	7	5	CH1_CHIN	2	112	75	75	YES	977	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	113	68	68	YES	471	2	chinese	low
1887_4026	2	5	CH1_CHIN	2	114	68	68	YES	441	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	115	75	75	YES	472	2	chinese	low
1887_4026	1	5	CH1_CHIN	2	116	68	68	YES	448	2	chinese	low
1887_4026	3	5	CH1_CHIN	2	117	68	68	YES	504	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	118	75	75	YES	440	2	chinese	low
1887_4026	6	5	CH1_CHIN	2	119	75	75	YES	496	2	chinese	low
1887_4026	8	5	CH1_CHIN	2	120	75	75	YES	391	2	chinese	low
1887_4026	2	5	CH1_CHIN	3	1	68	68	YES	534	2	chinese	low
